question,answer
What is statistics?,"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What are the two types of statistics?,Descriptive statistics and inferential statistics.
What is a population in statistics?,A population is the entire group that you want to draw conclusions about.
What is a sample in statistics?,A sample is a subset of individuals from a population used to estimate population characteristics.
What is a parameter?,A parameter is a numerical value that summarizes a characteristic of the population.
What is a statistic (in contrast to a parameter)?,A statistic is a numerical value that summarizes a characteristic of a sample.
What is the mean?,The mean is the average of a set of numbers.
What is the median?,The median is the middle value in a dataset when arranged in order.
What is the mode?,The mode is the value that appears most frequently in a dataset.
What is variance?,Variance measures how spread out the values in a dataset are.
What is standard deviation?,"Standard deviation is the square root of the variance, showing how much data deviates from the mean."
What is the range?,The range is the difference between the highest and lowest values in a dataset.
What is a frequency distribution?,A frequency distribution shows how often each value in a dataset occurs.
What is a histogram?,A histogram is a graphical representation of the distribution of numerical data.
What is a bar chart?,A bar chart is a graph that represents categorical data with rectangular bars.
What is a pie chart?,A pie chart is a circular statistical graphic divided into slices to illustrate proportions.
What is a box plot?,A box plot is a graphical display for describing the distributions with five-number summary.
What is the five-number summary?,"Minimum, first quartile, median, third quartile, and maximum."
What is skewness?,Skewness measures the asymmetry of the probability distribution of a real-valued random variable.
What is kurtosis?,Kurtosis measures the 'tailedness' of the probability distribution.
What is a normal distribution?,A normal distribution is a bell-shaped curve that is symmetric about the mean.
What is the empirical rule?,"The empirical rule states that 68%, 95%, and 99.7% of data fall within 1, 2, and 3 standard deviations from the mean respectively."
What is a z-score?,A z-score tells you how many standard deviations a data point is from the mean.
What is probability?,Probability is a measure of how likely an event is to occur.
What is an event in probability?,An event is a specific outcome or a set of outcomes of a random experiment.
What is a random variable?,A random variable is a numerical outcome of a random phenomenon.
What is a discrete random variable?,A discrete random variable has countable values.
What is a continuous random variable?,A continuous random variable has an infinite number of possible values.
What is the law of large numbers?,"As a sample size grows, its mean gets closer to the average of the whole population."
What is the central limit theorem?,It states that the sampling distribution of the sample mean approaches a normal distribution as the sample size increases.
What is statistics? (Q31),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q32),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q33),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q34),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q35),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q36),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q37),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q38),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q39),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q40),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q41),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q42),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q43),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q44),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q45),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q46),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q47),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q48),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q49),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q50),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q51),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q52),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q53),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q54),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q55),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q56),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q57),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q58),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q59),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q60),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q61),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q62),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q63),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q64),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q65),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q66),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q67),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q68),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q69),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q70),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q71),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q72),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q73),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q74),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q75),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q76),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q77),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q78),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q79),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q80),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q81),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q82),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q83),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q84),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q85),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q86),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q87),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q88),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q89),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q90),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q91),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q92),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q93),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q94),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q95),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q96),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q97),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q98),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q99),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q100),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q101),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q102),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q103),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q104),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q105),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q106),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q107),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q108),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q109),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q110),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q111),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q112),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q113),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q114),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q115),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q116),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q117),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q118),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q119),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q120),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q121),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q122),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q123),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q124),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q125),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q126),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q127),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q128),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q129),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q130),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q131),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q132),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q133),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q134),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q135),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q136),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q137),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q138),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q139),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q140),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q141),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q142),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q143),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q144),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q145),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q146),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
What is statistics? (Q147),"Statistics is the science of collecting, analyzing, interpreting, and presenting data."
